method,fold,cohort,source,case_id,class_id,class_name,label_path,pred_path,is_evaluable,evaluability_reason,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,1,front,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,True,evaluable,19463549,4962314,5022645,4913885,108760,48429,14392475,25.24660327877511,0.5587881223511704,0.2488189589678634,73.94578963990585,0.9842574215878104,0.9690028187322844,0.978346070646044,0.990240641765112,0.9924999491422628,0.0075000508577372,0.0219171942767023,10.0,False,,,
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,2,middle,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,True,evaluable,19463549,5104963,5084773,4916999,167774,187964,14190812,25.262602416445223,0.8619907910936488,0.9657231576831132,72.909683634778,0.9650885950332766,0.932532572741633,0.9670046234119006,0.9631801444985988,0.988315423259644,0.0116845767403559,0.0328648807053058,10.0,False,,,
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,3,end,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,True,evaluable,19463549,4932786,4982120,4831536,150584,101250,14380179,24.823509833689634,0.7736718519320398,0.5202031756901067,73.88261513868822,0.9746004651985606,0.95045924258907,0.9697751158141514,0.979474074083084,0.9896368827982398,0.0103631172017601,0.0305271706496085,9.003461384075086,False,,,
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,4,left_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,True,evaluable,19463549,64089,54688,52948,1740,11141,19397720,0.2720367184833557,0.0089397879081559,0.0572403316579108,99.66178316195058,0.8915530784579506,0.804326360722478,0.9681831480397892,0.8261636162211924,0.9999103067817352,8.96932182648383e-05,0.0271497448860178,6.253049412024914,False,,,
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,5,right_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,True,evaluable,19463549,61689,60909,54234,6675,7455,19395185,0.2786439410407629,0.0342948760269774,0.0383023671582197,99.64875881577404,0.8847452650124799,0.7933122696155871,0.890410284194454,0.8791518747264504,0.9996559608202512,0.0003440391797487,0.1082040558284297,111.97026705465656,False,,,
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,6,testis,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,True,evaluable,19463549,264418,253807,238366,15441,26052,19183690,1.2246790140893626,0.0793329109711697,0.1338502037834929,98.56213787115595,0.9199324617685368,0.8517360527980161,0.9391624344482224,0.9014741810315484,0.9991957448490768,0.0008042551509232,0.0583961757520289,10.06448473223214,False,,,
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,7,thoracic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,True,evaluable,19463549,967864,955087,936341,18746,31523,18476939,4.810741350408397,0.0963133701875233,0.1619591576027578,94.93098612180133,0.9738584082485722,0.9490487629357092,0.9803724686860988,0.9674303414529314,0.998986466302816,0.0010135336971839,0.0193684236628286,5.0,False,,,
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,8,abdominal_and_pelvic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,True,evaluable,19463549,3029366,3010581,2931317,79264,98049,16354919,15.060547282512555,0.4072433038804999,0.5037570486245854,84.02845236498236,0.9706432854460478,0.9429610471493872,0.9736715271902666,0.9676338217303556,0.9951768822338172,0.0048231177661828,0.0261652108064855,7.8125,False,,,
mednext_s_seed20260522,0,v1_comparison,TB,133140_114338,9,head,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/133140_114338.nii.gz,False,absent_or_out_of_fov_for_fp,19463549,0,5215,0,5215,0,19458334,0.0,0.0267936746787546,0.0,99.97320632532124,,,,,,,,,False,5215.0,0.0002679367467875,1.0
mednext_s_seed20260522,0,v1_comparison,TB,136032_122089,1,front,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/mednext_s__seed20260522/136032_122089.nii.gz,True,evaluable,22494238,5598574,5744164,5510839,233325,87735,16662339,24.498891671725,1.0372656322032336,0.3900332165063782,74.07380947956538,0.9716946649036592,0.944947606259985,0.9593805121162976,0.9843290452175858,0.9861902438400764,0.0138097561599236,0.041675791013926,20.0,False,,,
