method,fold,cohort,source,case_id,class_id,class_name,label_path,pred_path,is_evaluable,evaluability_reason,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,1,front,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,True,evaluable,19415023,4962314,4834829,4824767,10062,137547,14442647,24.85068907721613,0.0518258464077019,0.7084565390419574,74.38902853733421,0.984933464786622,0.970314191847117,0.9979188509045512,0.9722816814897244,0.999303798339813,0.000696201660187,0.0020276830527048,10.0,False,,,
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,2,middle,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,True,evaluable,19415023,5104963,5175854,5014259,161595,90704,14148465,25.82669616203905,0.8323193848392557,0.4671846126579402,72.87379984046375,0.9754592460890996,0.9520941381448756,0.9687790652518404,0.9822321924762236,0.9887075945174234,0.0112924054825765,0.0316544899541877,10.0,False,,,
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,3,end,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,True,evaluable,19415023,4932786,5000208,4904804,95404,27982,14386833,25.262931699849133,0.4913926705108719,0.1441255052852628,74.10155012435473,0.9875781662608476,0.9754611500360963,0.9809199937282608,0.9943273436147444,0.9934123436869594,0.0065876563130405,0.0193407944313821,5.0,False,,,
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,4,left_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,True,evaluable,19415023,64089,62103,60844,1259,3245,19349675,0.3133861855327187,0.0064846691142214,0.0167138612197369,99.66341528413332,0.9643083555217448,0.9310766970680052,0.9797272273481152,0.9493672861177423,0.9999349385409512,6.50614590489534e-05,0.0196445567882163,2.1836533103418843,False,,,
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,5,right_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,True,evaluable,19415023,61689,60328,58520,1808,3169,19351526,0.301416073522035,0.0093123762974682,0.0163224117736043,99.67294913840688,0.9592106018013884,0.9216183441737404,0.9700304999336958,0.9486294152928398,0.999906579403838,9.342059616188094e-05,0.0293083045599701,3.5210451358891333,False,,,
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,6,testis,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,True,evaluable,19415023,264418,257657,249197,8460,15221,19142145,1.2835266793142608,0.0435745041352771,0.0783980528892497,98.5945007636612,0.9546406167696212,0.9132176283907094,0.9671656504577792,0.9424358402226776,0.9995582384995148,0.0004417615004852,0.0319947961182672,7.577917990859857,False,,,
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,7,thoracic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,True,evaluable,19415023,967864,965915,948219,17696,19645,18429463,4.883944767925333,0.0911459131415914,0.1011845311746476,94.92372478775842,0.9806901409106212,0.9621118957749908,0.9816795473721808,0.9797027268293892,0.9990407194950724,0.0009592805049276,0.0182835605002355,5.0,False,,,
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,8,abdominal_and_pelvic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,True,evaluable,19415023,3029366,3044095,2990168,53927,39198,16331730,15.401310624252156,0.2777591352840529,0.2018952024934505,84.11903503797033,0.9846668975070392,0.9697969022081262,0.9822847184466976,0.9870606588969442,0.996708889976154,0.0032911100238458,0.0178014145534082,5.0,False,,,
nnunet_2d_seed20260521,0,v1_comparison,TB,133140_114338,9,head,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/133140_114338.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/133140_114338.nii.gz,False,absent_or_out_of_fov_for_fp,19415023,0,0,0,0,0,19415023,0.0,0.0,0.0,100.0,,,,,,,,,False,0.0,0.0,0.0
nnunet_2d_seed20260521,0,v1_comparison,TB,136032_122089,1,front,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136032_122089.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/nnunet_2d__seed20260521/136032_122089.nii.gz,True,evaluable,22453463,5598574,5679121,5590679,88442,7895,16766447,24.89896101995492,0.3938902431219629,0.0351616140459046,74.67198712287721,0.99145774025632,0.9830601848139692,0.9844268153469524,0.9985898194790316,0.9947527391013966,0.0052472608986033,0.0157972369392634,5.0,False,,,
